,Forbidden City,China Beijing,Unnamed: 2
0,St. Peter's Basilica,Vatican City Vatican City,
1,Palace of Versailles,France Versailles,
2,Lincoln Memorial,"United States Washington, D.C.",
3,Colosseum-Forum-Palatine Hill Circuit,Italy Rome,
4,Parthenon,Greece Athens,
5,Eiffel Tower,France Paris,
6,Taj Mahal,India Agra,
7,Cologne Cathedral,Germany Cologne,
8,Peterhof Palace,Russia Saint Petersburg,
9,Łazienki Palace,Poland Warsaw,
10,Vietnam Veterans Memorial,"United States Washington, D.C.",
11,World War II Memorial,"United States Washington, D.C.",
12,Independence National Historical Park,United States Philadelphia,
13,Sagrada Família,Spain Barcelona,
14,Statue of Liberty National Monument,United States New York City,
15,Teotihuacán,Mexico Teotihuacán,
16,Mysore Palace,India Mysore,
17,Tsarskoe Selo State Museum-Reserve,Russia Saint Petersburg,
18,Pompeii,Italy Naples,
19,Wilanów Palace,Poland Warsaw,
20,Schönbrunn Palace,Austria Vienna,
21,Kazan Kremlin,Russia Kazan,
22,Tower of London,United Kingdom London,
23,Alhambra,Spain Granada,
24,Chichén Itzá,Mexico Yucatán,
25,Topkapı Palace,Turkey Istanbul,
26,Chapultepec Castle,Mexico Mexico City,
27,Ciudad de las Artes y las Ciencias,Spain Valencia,
28,Statue of Unity,India Kevadiya,
29,Moscow Kremlin,Russia Moscow,
30,Battle of Stalingrad State Museum-Reserve,Russia Volgograd,
31,Tulum,Mexico Quintana Roo,
32,Auschwitz-Birkenau Memorial and Museum,Poland Oświęcim,
33,Edinburgh Castle,United Kingdom Edinburgh,
34,Mosque–Cathedral of Córdoba,Spain Córdoba,
35,Royal Alcázar of Seville,Spain Seville,
36,Wawel Castle,Poland Kraków,
37,Arc de Triomphe,France Paris,
38,Royal Palace of Madrid,Spain Madrid,
39,Neuschwanstein Castle,Germany Schwangau,
40,Machu Picchu,Peru Cusco,
41,Castillo San Felipe del Morro (San Juan National Historic Site),Puerto Rico San Juan,
